period,stock_symbol,ordinary_shares_number,share_issued,total_debt,cash_and_cash_equivalents
2023-12-31 00:00:00,MMM,552581136.00,944033056.00,16854000000.00,5933000000.00
2022-12-31 00:00:00,MMM,549245105.00,944033056.00,16855000000.00,3655000000.00
2021-12-31 00:00:00,MMM,571845478.00,944033056.00,18310000000.00,4564000000.00
2020-12-31 00:00:00,MMM,577749638.00,944033056.00,19753000000.00,4634000000.00
2019-12-31 00:00:00,MMM,,,,
2023-12-31 00:00:00,AOS,147527327.00,190577212.00,155200000.00,339900000.00
2022-12-31 00:00:00,AOS,151179079.00,190577214.00,366900000.00,391200000.00
2021-12-31 00:00:00,AOS,157652567.00,190577214.00,219000000.00,443300000.00
2020-12-31 00:00:00,AOS,161769759.00,190577214.00,147600000.00,573100000.00
2019-12-31 00:00:00,AOS,,,,
2023-12-31 00:00:00,ABT,1734076358.00,1987883852.00,15628000000.00,6896000000.00
2022-12-31 00:00:00,ABT,1737795021.00,1986519278.00,17716000000.00,9882000000.00
2021-12-31 00:00:00,ABT,1764082193.00,1985273421.00,19006000000.00,9799000000.00
2020-12-31 00:00:00,ABT,1771230274.00,1981156896.00,19649000000.00,6838000000.00
2019-12-31 00:00:00,ABT,,,,
2023-12-31 00:00:00,ABBV,1765940733.00,1823046087.00,59385000000.00,12814000000.00
2022-12-31 00:00:00,ABBV,1769181294.00,1813770294.00,63271000000.00,9201000000.00
2021-12-31 00:00:00,ABBV,1768337696.00,1803195293.00,76684000000.00,9746000000.00
2020-12-31 00:00:00,ABBV,1765132819.00,1792140764.00,86056000000.00,8449000000.00
2019-12-31 00:00:00,ABBV,,,,
2024-08-31 00:00:00,ACN,626000000.00,673426443.00,4120549000.00,5004469000.00
2023-08-31 00:00:00,ACN,628265148.00,664616285.00,3149034000.00,9045032000.00
2022-08-31 00:00:00,ACN,631167579.00,664561282.00,3325756000.00,7889833000.00
2021-08-31 00:00:00,ACN,632085959.00,656590625.00,3506634000.00,8168174000.00
2020-08-31 00:00:00,ACN,,,,
2023-11-30 00:00:00,ADBE,455000000.00,601000000.00,4080000000.00,7141000000.00
2022-11-30 00:00:00,ADBE,462000000.00,601000000.00,4633000000.00,4236000000.00
2021-11-30 00:00:00,ADBE,475000000.00,601000000.00,4673000000.00,3844000000.00
2020-11-30 00:00:00,ADBE,479000000.00,601000000.00,4708000000.00,4478000000.00
2019-11-30 00:00:00,ADBE,,,,
2023-12-31 00:00:00,AMD,1616000000.00,1663000000.00,3003000000.00,3933000000.00
2022-12-31 00:00:00,AMD,1612000000.00,1645000000.00,2863000000.00,4835000000.00
2021-12-31 00:00:00,AMD,1207000000.00,1232000000.00,661000000.00,2535000000.00
2020-12-31 00:00:00,AMD,1211000000.00,1217000000.00,531000000.00,1595000000.00
2019-12-31 00:00:00,AMD,,,,
2023-12-31 00:00:00,AES,669693234.00,819051591.00,26878000000.00,1426000000.00
2022-12-31 00:00:00,AES,668743464.00,818790001.00,23498000000.00,1374000000.00
2021-12-31 00:00:00,AES,666793625.00,818717043.00,18699000000.00,943000000.00
2020-12-31 00:00:00,AES,665370128.00,818398654.00,19881000000.00,1089000000.00
2019-12-31 00:00:00,AES,,,,
2023-12-31 00:00:00,AFL,578479000.00,1355398000.00,7364000000.00,4306000000.00
2022-12-31 00:00:00,AFL,615256000.00,1354079000.00,7442000000.00,3943000000.00
2021-12-31 00:00:00,AFL,652132000.00,1352739000.00,7956000000.00,5051000000.00
2020-12-31 00:00:00,AFL,692454000.00,1351018000.00,7899000000.00,5141000000.00
2019-12-31 00:00:00,AFL,,,,
2023-10-31 00:00:00,A,292123241.00,292123241.00,2735000000.00,1590000000.00
2022-10-31 00:00:00,A,295000000.00,295000000.00,2769000000.00,1053000000.00
2021-10-31 00:00:00,A,302000000.00,302000000.00,2729000000.00,1484000000.00
2020-10-31 00:00:00,A,306000000.00,306000000.00,2359000000.00,1441000000.00
2019-10-31 00:00:00,A,,,,
2023-09-30 00:00:00,APD,222199845.00,249455584.00,11031600000.00,1617000000.00
2022-09-30 00:00:00,APD,221838696.00,249455584.00,8326900000.00,2711000000.00
2021-09-30 00:00:00,APD,221396755.00,249455584.00,8219200000.00,4468900000.00
2020-09-30 00:00:00,APD,221017459.00,249455584.00,8314300000.00,5253000000.00
2023-12-31 00:00:00,ABNB,638000000.00,638000000.00,2304000000.00,6874000000.00
2022-12-31 00:00:00,ABNB,631000000.00,640000000.00,2341000000.00,7378000000.00
2021-12-31 00:00:00,ABNB,633524000.00,642724000.00,2418000000.00,6067000000.00
2020-12-31 00:00:00,ABNB,599197000.00,608397000.00,2329808000.00,5480557000.00
2019-12-31 00:00:00,ABNB,,,,
2023-12-31 00:00:00,AKAM,151232908.00,151232908.00,4535979000.00,489468000.00
2022-12-31 00:00:00,AKAM,156494816.00,156494816.00,3174617000.00,542337000.00
2021-12-31 00:00:00,AKAM,160512111.00,165220898.00,2858937000.00,536725000.00
2020-12-31 00:00:00,AKAM,162709720.00,164672588.00,2776912000.00,352917000.00
