period,stock_symbol,free_cash_flow,end_cash_position,begin_cash_position,changes_in_cash,operating_cashflow,cashflow_from_cont_operation
2023-12-31 00:00:00,MMM,5065000000.00,5933000000.00,3655000000.00,2326000000.00,6680000000.00,6680000000.00
2022-12-31 00:00:00,MMM,3842000000.00,3655000000.00,4564000000.00,-805000000.00,5591000000.00,5591000000.00
2021-12-31 00:00:00,MMM,5851000000.00,4564000000.00,4634000000.00,-8000000.00,7454000000.00,7454000000.00
2020-12-31 00:00:00,MMM,6612000000.00,4634000000.00,2353000000.00,2233000000.00,8113000000.00,8113000000.00
2019-12-31 00:00:00,MMM,,,,,,
2023-12-31 00:00:00,AOS,597700000.00,339900000.00,391200000.00,-38500000.00,670300000.00,670300000.00
2022-12-31 00:00:00,AOS,321100000.00,391200000.00,443300000.00,-31300000.00,391400000.00,391400000.00
2021-12-31 00:00:00,AOS,566000000.00,443300000.00,573100000.00,-129800000.00,641100000.00,641100000.00
2020-12-31 00:00:00,AOS,505300000.00,573100000.00,374000000.00,199100000.00,562100000.00,562100000.00
2019-12-31 00:00:00,AOS,,,,,,
2023-12-31 00:00:00,ABT,5059000000.00,6896000000.00,9882000000.00,-2963000000.00,7261000000.00,7261000000.00
2022-12-31 00:00:00,ABT,7804000000.00,9882000000.00,9799000000.00,205000000.00,9581000000.00,9581000000.00
2021-12-31 00:00:00,ABT,8648000000.00,9799000000.00,6838000000.00,3031000000.00,10533000000.00,10533000000.00
2020-12-31 00:00:00,ABT,5724000000.00,6838000000.00,3860000000.00,2907000000.00,7901000000.00,7901000000.00
2019-12-31 00:00:00,ABT,,,,,,
2023-12-31 00:00:00,ABBV,22062000000.00,12814000000.00,9201000000.00,3608000000.00,22839000000.00,22839000000.00
2022-12-31 00:00:00,ABBV,24248000000.00,9201000000.00,9746000000.00,-483000000.00,24943000000.00,24943000000.00
2021-12-31 00:00:00,ABBV,21990000000.00,9746000000.00,8449000000.00,1394000000.00,22777000000.00,22777000000.00
2020-12-31 00:00:00,ABBV,16790000000.00,8449000000.00,39924000000.00,-31470000000.00,17588000000.00,17588000000.00
2019-12-31 00:00:00,ABBV,,,,,,
2024-08-31 00:00:00,ACN,8614518000.00,5004469000.00,9045032000.00,-3994299000.00,9131027000.00,9131027000.00
2023-08-31 00:00:00,ACN,8996096000.00,9045032000.00,7889833000.00,1256472000.00,9524268000.00,9524268000.00
