period,stock_symbol,ebitda,ebit,diluted_eps,basic_eps,net_income,tax_provision,pretax_income,operating_income,operating_expense,gross_profit,total_revenue,operating_revenue
2023-12-31 00:00:00,MMM,-6759000000.00,-8746000000.00,-12.6300,-12.6300,-6995000000.00,-2691000000.00,-9688000000.00,-9035000000.00,23239000000.00,14204000000.00,32681000000.00,32681000000.00
2022-12-31 00:00:00,MMM,8685000000.00,6854000000.00,10.1800,10.2100,5777000000.00,612000000.00,6392000000.00,4334000000.00,10663000000.00,14997000000.00,34229000000.00,34229000000.00
2021-12-31 00:00:00,MMM,9607000000.00,7692000000.00,10.1200,10.2300,5921000000.00,1285000000.00,7204000000.00,7666000000.00,8894000000.00,16560000000.00,35355000000.00,35355000000.00
2020-12-31 00:00:00,MMM,9235000000.00,7324000000.00,9.2500,9.3200,5449000000.00,1337000000.00,6795000000.00,6906000000.00,8673000000.00,15579000000.00,32184000000.00,32184000000.00
2019-12-31 00:00:00,MMM,,,,,,,,,,,,
2023-12-31 00:00:00,AOS,823800000.00,745500000.00,3.6900,3.7100,556600000.00,176900000.00,733500000.00,757400000.00,727400000.00,1484800000.00,3852800000.00,3852800000.00
2022-12-31 00:00:00,AOS,310000000.00,233100000.00,1.5100,1.5591,235700000.00,-12000000.00,223700000.00,658700000.00,670900000.00,1329600000.00,3753900000.00,3753900000.00
2021-12-31 00:00:00,AOS,707800000.00,629900000.00,3.0200,3.0897,487100000.00,138500000.00,625600000.00,609500000.00,701400000.00,1310900000.00,3538900000.00,3538900000.00
2020-12-31 00:00:00,AOS,531200000.00,451200000.00,2.1200,2.1320,344900000.00,99000000.00,443900000.00,447900000.00,660300000.00,1108200000.00,2895300000.00,2895300000.00
2023-12-31 00:00:00,ABT,10544000000.00,7301000000.00,3.2600,3.3003,5723000000.00,941000000.00,6664000000.00,6478000000.00,15656000000.00,22134000000.00,40109000000.00,40109000000.00
2022-12-31 00:00:00,ABT,12131000000.00,8864000000.00,3.9100,3.9895,6933000000.00,1373000000.00,8306000000.00,8362000000.00,16149000000.00,24511000000.00,43653000000.00,43653000000.00
2021-12-31 00:00:00,ABT,12282000000.00,8744000000.00,3.9400,4.0083,7071000000.00,1140000000.00,8211000000.00,8425000000.00,16113000000.00,24538000000.00,43075000000.00,43075000000.00
2020-12-31 00:00:00,ABT,8841000000.00,5514000000.00,2.5000,2.5378,4495000000.00,497000000.00,4968000000.00,5357000000.00,14248000000.00,19605000000.00,34608000000.00,34608000000.00
2019-12-31 00:00:00,ABT,,,,,,,,,,,,
2023-12-31 00:00:00,ABBV,17172000000.00,8474000000.00,2.7200,2.7538,4863000000.00,1377000000.00,6250000000.00,13535000000.00,20368000000.00,33903000000.00,54318000000.00,54318000000.00
2022-12-31 00:00:00,ABBV,24174000000.00,15707000000.00,6.6300,6.6901,11836000000.00,1632000000.00,13477000000.00,18814000000.00,21826000000.00,40640000000.00,58054000000.00,58054000000.00
2021-12-31 00:00:00,ABBV,23933000000.00,15412000000.00,6.4500,6.5270,11542000000.00,1440000000.00,12989000000.00,19048000000.00,19703000000.00,38751000000.00,56197000000.00,56197000000.00
2020-12-31 00:00:00,ABBV,12323000000.00,5852000000.00,2.6151,2.6151,4616000000.00,-1224000000.00,3398000000.00,12739000000.00,17678000000.00,30417000000.00,45804000000.00,45804000000.00
2019-12-31 00:00:00,ABBV,,,,,,,,,,,,
2024-08-31 00:00:00,ACN,11188334000.00,9758292000.00,11.4400,11.5700,7264787000.00,2280126000.00,9699323000.00,9595847000.00,11566470000.00,21162317000.00,64896464000.00,64896464000.00
2023-08-31 00:00:00,ACN,10587612000.00,9186857000.00,10.7700,10.9000,6871557000.00,2135802000.00,9139332000.00,8809889000.00,11921718000.00,20731607000.00,64111745000.00,64111745000.00
2022-08-31 00:00:00,ACN,10554225000.00,9243487000.00,10.7100,10.8700,6877169000.00,2207207000.00,9196167000.00,9367181000.00,10334358000.00,19701539000.00,61594305000.00,61594305000.00
2021-08-31 00:00:00,ACN,9711850000.00,7820608000.00,9.1600,9.3100,5906809000.00,1770571000.00,7761116000.00,7621529000.00,8742599000.00,16364128000.00,50533389000.00,50533389000.00
2023-11-30 00:00:00,ADBE,7784000000.00,6912000000.00,11.8200,11.8700,5428000000.00,1371000000.00,6799000000.00,6650000000.00,10405000000.00,17055000000.00,19409000000.00,19409000000.00
2022-11-30 00:00:00,ADBE,6976000000.00,6120000000.00,10.1000,10.1300,4756000000.00,1252000000.00,6008000000.00,6098000000.00,9343000000.00,15441000000.00,17606000000.00,17606000000.00
2021-11-30 00:00:00,ADBE,6606000000.00,5818000000.00,10.0200,10.1000,4822000000.00,883000000.00,5705000000.00,5802000000.00,8118000000.00,13920000000.00,15785000000.00,15785000000.00
2020-11-30 00:00:00,ADBE,5049000000.00,4292000000.00,10.8300,10.9400,5260000000.00,-1084000000.00,4176000000.00,4237000000.00,6909000000.00,11146000000.00,12868000000.00,12868000000.00
2019-11-30 00:00:00,ADBE,,,,,,,,,,,,
2023-12-31 00:00:00,AMD,4149000000.00,598000000.00,0.5300,0.5300,854000000.00,-346000000.00,492000000.00,401000000.00,10059000000.00,10460000000.00,22680000000.00,22680000000.00
2022-12-31 00:00:00,AMD,5534000000.00,1272000000.00,0.8400,0.8500,1320000000.00,-122000000.00,1184000000.00,1264000000.00,9339000000.00,10603000000.00,23601000000.00,23601000000.00
2021-12-31 00:00:00,AMD,4166000000.00,3703000000.00,2.5700,2.6100,3162000000.00,513000000.00,3669000000.00,3648000000.00,4281000000.00,7929000000.00,16434000000.00,16434000000.00
2020-12-31 00:00:00,AMD,1676000000.00,1322000000.00,2.0600,2.1000,2490000000.00,-1210000000.00,1275000000.00,1369000000.00,2978000000.00,4347000000.00,9763000000.00,9763000000.00
2019-12-31 00:00:00,AMD,,,,,,,,,,,,
2023-12-31 00:00:00,AES,2551000000.00,1423000000.00,0.3500,0.3700,249000000.00,261000000.00,104000000.00,2237000000.00,267000000.00,2504000000.00,12668000000.00,12668000000.00
2022-12-31 00:00:00,AES,2001000000.00,948000000.00,-0.8200,-0.8200,-546000000.00,265000000.00,-169000000.00,2341000000.00,207000000.00,2548000000.00,12617000000.00,12617000000.00
2021-12-31 00:00:00,AES,903000000.00,-153000000.00,-0.6100,-0.6100,-409000000.00,-133000000.00,-1064000000.00,2545000000.00,166000000.00,2711000000.00,11141000000.00,11141000000.00
2020-12-31 00:00:00,AES,2594000000.00,1526000000.00,0.0700,0.0700,46000000.00,216000000.00,488000000.00,2528000000.00,165000000.00,2693000000.00,9660000000.00,9660000000.00
2019-12-31 00:00:00,AES,,,,,,,,,,,,
2023-10-31 00:00:00,A,1705000000.00,1434000000.00,4.1900,4.2200,1240000000.00,99000000.00,1339000000.00,1350000000.00,2115000000.00,3465000000.00,6833000000.00,6833000000.00
2022-10-31 00:00:00,A,1905000000.00,1588000000.00,4.1800,4.1900,1254000000.00,250000000.00,1504000000.00,1618000000.00,2104000000.00,3722000000.00,6848000000.00,6848000000.00
2021-10-31 00:00:00,A,1762000000.00,1441000000.00,3.9400,3.9800,1210000000.00,150000000.00,1360000000.00,1347000000.00,2060000000.00,3407000000.00,6319000000.00,6319000000.00
2020-10-31 00:00:00,A,1228000000.00,920000000.00,2.3000,2.3300,719000000.00,123000000.00,842000000.00,846000000.00,1991000000.00,2837000000.00,5339000000.00,5339000000.00
2023-09-30 00:00:00,APD,4418200000.00,3059900000.00,10.3300,10.3500,2300200000.00,551200000.00,2882400000.00,2739200000.00,1027800000.00,3767000000.00,12600000000.00,12600000000.00
